match_id,game_number,map_name,map_type,map_winner,match_date,team_one_name,team_two_name,team_one_score,team_two_score,season
37311,3,Watchpoint: Gibraltar,Escort,Florida Mayhem,2021/06/26,Toronto Defiant,Florida Mayhem,0.5440682642751098,1.3619358016154512,2021
37312,3,Route 66,Escort,London Spitfire,2021/06/26,San Francisco Shock,London Spitfire,0.5598241546110435,0.9111712624485212,2021
37313,3,Junkertown,Escort,San Francisco Shock,2021/06/25,San Francisco Shock,Los Angeles Gladiators,1.3266356706865208,0.5790792708934376,2021
37314,3,Watchpoint: Gibraltar,Escort,Paris Eternal,2021/06/25,London Spitfire,Paris Eternal,0.5193710011577253,1.7610173772420061,2021
37315,4,Watchpoint: Gibraltar,Escort,Shanghai Dragons,2021/07/10,Hangzhou Spark,Shanghai Dragons,0.5209162160570142,0.896787888481443,2021
37317,4,Route 66,Escort,New York Excelsior,2021/07/10,New York Excelsior,Philadelphia Fusion,1.034130451580771,0.5821405916264643,2021
37319,4,Junkertown,Escort,Chengdu Hunters,2021/07/09,Philadelphia Fusion,Chengdu Hunters,0.9033483935468262,0.9714975640456143,2021
37320,4,Junkertown,Escort,New York Excelsior,2021/07/09,Hangzhou Spark,New York Excelsior,0.8590016997072595,0.9734886740662507,2021
37321,2,Junkertown,Escort,Shanghai Dragons,2021/07/04,Philadelphia Fusion,Shanghai Dragons,0.7608153859159855,0.9734014092907525,2021
37322,2,Junkertown,Escort,Guangzhou Charge,2021/07/04,Guangzhou Charge,Seoul Dynasty,0.9739838831350034,0.7714209899333612,2021
37323,2,Route 66,Escort,Shanghai Dragons,2021/07/03,Shanghai Dragons,Seoul Dynasty,0.743775658317314,0.2115656455515803,2021
37324,2,Watchpoint: Gibraltar,Escort,Philadelphia Fusion,2021/07/03,Guangzhou Charge,Philadelphia Fusion,0.8558188449843219,1.0266297803998832,2021
37325,3,Watchpoint: Gibraltar,Escort,New York Excelsior,2021/06/27,Los Angeles Valiant,New York Excelsior,0.5586182819205301,1.7248651097781664,2021
37326,3,Route 66,Escort,Chengdu Hunters,2021/06/27,Chengdu Hunters,Guangzhou Charge,1.343630291635026,0.8230307597513966,2021
37327,3,Junkertown,Escort,Seoul Dynasty,2021/06/27,Hangzhou Spark,Seoul Dynasty,0.9448654115617172,1.954485248432179,2021
37328,3,Junkertown,Escort,Guangzhou Charge,2021/06/26,Guangzhou Charge,New York Excelsior,1.1124239403049487,1.1440123847773296,2021
37329,3,Watchpoint: Gibraltar,Escort,Chengdu Hunters,2021/06/26,Seoul Dynasty,Chengdu Hunters,0.23205149895145988,0.5495800939267774,2021
37330,3,Route 66,Escort,Hangzhou Spark,2021/06/26,Hangzhou Spark,Los Angeles Valiant,1.6184712207509306,0.14954886462264155,2021
37357,4,Rialto,Escort,Dallas Fuel,2021/06/12,Atlanta Reign,Dallas Fuel,0.6311450896741282,0.8937829756660073,2021
37358,4,Rialto,Escort,Dallas Fuel,2021/06/13,Dallas Fuel,Shanghai Dragons,1.0696910592422157,1.2639798226247618,2021
37358,7,Junkertown,Escort,Shanghai Dragons,2021/06/13,Dallas Fuel,Shanghai Dragons,0.535046076904237,0.8847371514842223,2021
37377,4,Watchpoint: Gibraltar,Escort,Shanghai Dragons,2021/05/07,Florida Mayhem,Shanghai Dragons,0.19232555196062875,0.5823118336632673,2021
37377,6,Dorado,Escort,Shanghai Dragons,2021/05/07,Florida Mayhem,Shanghai Dragons,0.8538539102349244,1.0954687322509176,2021
37378,4,Watchpoint: Gibraltar,Escort,Dallas Fuel,2021/05/07,Dallas Fuel,Chengdu Hunters,1.0713385497187018,1.3513593638223373,2021
37379,4,Watchpoint: Gibraltar,Escort,Dallas Fuel,2021/05/08,Dallas Fuel,Shanghai Dragons,1.1325188864242235,0.8554808136198135,2021
37379,6,Dorado,Escort,Dallas Fuel,2021/05/08,Shanghai Dragons,Dallas Fuel,0.22961039482025924,0.8804997121448412,2021
37380,4,Watchpoint: Gibraltar,Escort,Dallas Fuel,2021/05/09,Shanghai Dragons,Dallas Fuel,0.9335905279142311,0.9374087051586446,2021
37381,4,Watchpoint: Gibraltar,Escort,Chengdu Hunters,2021/05/02,Chengdu Hunters,Seoul Dynasty,1.2742561240354313,0.9024325087380777,2021
